review,assessment
"Большое количество карточек и нравится, что есть разъяснения. , ",1
"Ужасное качество исполнения. Отвратительное. Нельзя использовать здесь ненормативную лексику, а ой как хочется. Скобы степлера, которыми крепятся ""сетки"" в лузах частично пристреляны мимо. Борта, сделанные из ДСП, местами в сколах, хотя это не влияет на игру, конечно. Сукно на бортах плохо натянуто, потому ждать какого-то хорошего отскока шаров от них не придётся. Посреди самого стола, в самом центре, огромное пятно почти с половину стола, очень хотелось бы думать, что это клей, которых сукно приклеили к фанере стола. Короче, поставил бы одну звезду, но подарок ребёнку всё равно нравится, играют со старшим братом. Дороже 500 рублей бы не купил. Да вообще бы не купил, если бы жена проверила на качтство при получении., ",0
"Бочонки маленькие, фишки обычный картон. Не понравилось. Покупала в подарок сыну, очень расстроилась, ",0
"Брала в подарок, идея очень хорошая,  но качество соответствует цене , ",1
"Брала внучке, играет, ",1
"Брала за 150 
Ребеноку интересно, ",1
"Брала игру для себя, играем на работе - счастью нет предела! Мечтала об этой игре с 2010 года и вот - сбылась.
Очень интересные задания, продуманные пути. , ",1
"Брала на подарок, упаковка целая, что внутри в сожалению не знаю ☺️, ",1
"Брали для сына 6 лет, все понравилось, играем всей семьей, ",1
"Брали на подарок племяннице, очень понравилось детям старше 10 лет, ",1
"Брали на подарок,  именник доволен , ",1
"Детям игра понравилась, но от любопытства решили вручную открыть глаза бабуле, теперь не закрываются., ",0
"Брали на подарок. Интересная игра.Отоично упаковано, ",1
"Игра длится минут 15-20, никакого азарта. Заканчивается, когда выкупаются все участки, ",0
"Вопросов по доставке, получению заказа, и даже к упаковке не возникло, все идеально, но само качество товара, когда стали собирать игру, просто удручающее! Детали стенок поля сделаны из совершенно трухлявого дсп, при вкручивании шурупов сыпятся опилки, отверстия не совпадают, все сикось накось, торцы боковин поля отклеились, при этом еще собрали не до конца.., ",0
"Брали на подарок. Ребенок в восторге и родители тоже. Всем очень понравилась, брали сразу две, эту и соображарий 2, ",1
"Брали, ребенок сидит по долгу занимаеться. Процес нравиться. , ",1
"Не покупайте он не стоит таких денег, клюшки бьют мимо шайбы, полы кривые, одно разочарование, ",0
"Бруски кривые, с классической Дженной не сравнится. 
, ",0
"Буба стал любимцем ребенка (1 год 3 месяца).  Большой и приятный на ощупь., ",1
"Буквы и цифры мягкие, покупали ребёнку 2 года. Ему очень понравилось. Коробочка очень удобная, можно взять с собой в дорогу. Карточи с заданиями яркие, но пока рано, отложили., ",1
"Бункер - вообще не стоит своих денег! На один раз, не смешная. Мы в советскую монополию играем снова и снова, а в эту на один раз.",0
"Была не внимательна, конечно, но никак не ожидала, что внутри будут не магниты, а наполнитель с магнитным слоем. Пластиковые фишки все в зазубринах, после вставки этой подушечки она вылетает. Количество фишек не соответствует заявленному в инструкции, хоть и не критично для игры. И самое главное (я конечно ориентируюсь на старый советский реально магнитный вариант такой игры) нет полосок для игроков. Куда, спрашивается набрать эти 7 букв, как и где их держать, чтобы другие не видели? Разочарована полностью. Не рекомендую!",0
"Была у меня в детстве похожая игра, мне нравилось, вот и купила сыну (8 лет). Суть игры простая, целься колпачками в цель и считай очки, НО так увлекает!! Мы периодически играем втроем или четвером, шутим и смеёмся над промахами, подзадориваем друг друга, поэтому получаем массу позитива :) У сына часто хорошо получается попадать в центр или в другие колпачки (отчего очки удваиваются), поэтому ему игра нравится., ",1
"Купили месяца 2 назад, играли раз 10 за все время. Начала шляпа ""тупить"", не запоминает, что купили. Поменяли батарейки, ничего не помогло! Покупали за три с лишним тысячи, очень жаль, что за такие деньги продают, такое не качественное ...., ",0
"Быстрая веселая игра на внимательность детям лет от пяти, ",1
"Быстрая и ненапряжная игра. Мы играем вдвоём с ребёнком 5 лет до момента, когда у кого-то появляется второй бургер. Сразу после - считаем очки (если не видно на глаз). К покупке рекоммендую. Картинки очень милые и ребёнку с ними интересно., ",1
"Быстрая игра. Может быть филером перед сложной игрой или игрой, когда не хочется думать, а под кружечку чая весело поиграть. Качественная вырубка компонентов, хороший мешочек. Жетоны игроков хочется заменить объёмными фишечками, удобнее брать - переставлять.",1
"Бюджетный вариант для школы, кружка. По акции с бонусами получается за 350руб
Зная все недочёты, всё равно купила бы., ",1
"Сначала сборник игр произвёл хорошее впечатление, но когда начинаешь играть выясняются «сюрпризы». Например в инструкции о правилах в шахматах написано: посмотрите в интернете. Wtf? Так можно написать на каждую игру и не заморачиваться с печатанием инструкции. О чем собственно производитель подумал и решил к игре Мемополия и Фотовикторина не прикладывать инструкций вообще. По поводу качества игр: поле для шашек и шахмат и сами фигуры можно было ещё меньше сделать??? Понятно, что игра для детей, но они учатся играть со взрослыми и такой mini формат крайне не удобен. Так же в Падающей башне плохо зашлифованы бруски.  Ребёнок все равно доволен, но я как человек заплативший за эту игру крайне возмущена. Эти игры можно было все по отдельности приобрести и вероятность брака была бы ниже, я купилась на упаковку (хранить удобнее). Скупой платит дважды, как минимум шашки с шахматами придётся брать новые., ",0
"Сложно понять правила, долго вдумывались в их текст соотнося с игровым полем. Видео-инструкцию не нашли, но все-таки разобрались. Игра не интересная. Фото из Гарри Поттера, названия мест и комнат не имеет никакого назначения в игре. Просто накидали картинок фоном, чтобы можно было хоть как-то связать игру с книгой и фильмом., ",0
"В восторге, у нас много игр этой фирмы и будем продолжать покупать. , ",1
"В детстве были такие, прям настольгия) все карты на месте, инструкция тоже), ",1
"В комплекте игры четыре двусторонних поля из тонкой бумаги, полиграфия красочная. Игра хорошая. Но сделана очень дешмаково, сэкономили буквально на всем. Тонюсенькие провода щупов, контактные поверхности сделаны напылением графита на картон... Проживет игрушка не долго, хорошо если ребенок успеет все 8 вариантов  пройти. Если не успеет - отпишусь., ",1
"В комплекте к головоломке идут карточки с заданиями. Мне кажется взрослым интереснее чем детям)) однозначно рекомендую!, ",1
"Интересная, но опечалены, что при вскрытие не оказалось желтых катапульт(, ",0
"В некоторых карточках неоднозначные формулировки, правил вроде нет, как указано на коробке, но есть карточка с правилами, непонятно что делать с использованными картами. Красные и зеленые поля есть, но не указано что с ними делать. Неплохо, можно было бы как-то упростить игру",0
"В отзывах то и дело пишут что игра отвечает рондомно, не работает как детектор лжи. Вы серьёзно? Это дешёвая игра, а не полиграф. Исполнение отличное. Цена со скидкой очень хорошая. А будет весело с ней или нет, только от вас зависит., ",1
"В целом впечатления положительные, освоить правила, с играть пробную партию и в путь;))) если вы ещё не играли в игры с механикой скрытых перемещений и один против всех, то однозначно стоит попробовать!, ",1
"В целом задумка игры на развитие мышление,  моторики очень достойна. Взяла дочке на 4 года. Но очень расстроило, что в инструкции есть расхождение в цвете деталей (1шт), при чем темно синяя деталь в инструкции обозначена как фиолетовая??‍♀️  Я специально не брала дешевый вариант такой игры, так как читала что там такое встречается. И каково было мое разочарование, когда я увидела такое в этой игре!((((, ",1
"В целом игра выполнена не плохо и стоит своих денег если не одно но, это карачки с заданиями, вернее одна инструкция, на которой напечатаны микроскопическим шрифтом все задания,  и вся информация о правилах игры. Что-бы рассмотреть задание на карточке, необходимо вглядываться и сильно напрягать зрение. Один уровень сложности, с перечнем заданий занимает место с спичечный коробок. Мне искренне не понятно, зачем надо было экономит на карточках и портить все впечатление как по изделию в целом так и об игре., ",1
"В целом игра прикольная, много интересных заданий и ловушек на игровом поле. Картон твердый, красочный. Играем всей семьей, нескучная игра! Но… 
В комплекте 4 монстрика, у одного монстрика (зеленого) отломана ножка, из-за этого снимаю звездочку., ",1
"В целом игра хорошая, ребенка 4 года заинтересовало.Что не понравилось:1. Я ожидала, что игра-ходилка будет связана с карточками (например, попал на синее поле-надо ответить на вопрос из синей категории). В реальности это просто ходилка со счетом до 4-х. К карточкам ее привязать сложно, т.к карточки из разных категорий никак не помечены (просто все карточки пронумерованы) В 4 года уже не интересно. 2. Коробка огромная, а по факту 50% коробки -поле для ходилки. Если оставить только карточки и морковку, то всё с запасом поместилось бы в коробочку 20×30×103. Сами карточки местами названы некорректно. Например, "" подбери слово к животному"", а на картинках в качестве ""животных"" предлагаются гусеницы и пауки.4. Слова на карточках не всегда самые необходимые: например, какая первая буква и нарисовано здание. Ребенок считает, что это дом, а это-отель (зачем?). Или гамбургер. Зачем это слово с словаре ребенку 3-6лет?5. Морковка срабатывает не всегда правильно. При этом к части точек ее нужно просто прислонить, а где-то не сработает без нажатия. Плюс нажимать надо строго в определенном положении, при легком наклоне она может дать ошибочный звук на правильный ответ.6. Морковка оставляет черные следы на карточках. Т.е если навести ее не прям в центр точки, то останутся следы и ребенок повторно проходя карточки будет видеть куда он тыкал в прошлый раз, ",1
"В целом набором довольны, но есть ньюанс, который немного напрягает: Фишки шахматные магнитные, а вот фишки шашечные нет. Шашки одинаковые с двух сторон, поэтому когда пешка становится дамкой приходится задействовать пешки из шахмат для этой цели., ",1
"В целом хороший набор. Ребенку 2г понравилось, но уже очень легко. Лучше бы купила подороже, но с магнитными основами, а то здесь все фишки съезжают при малейшем движении. Пришлось купить комплект липучек и самой уже доработать., ",1
"Те кто пишут, что игра норм. Видимо не играли с детьми, в другие современные нормальные игры. Что с паузой, что без. Игра на 2 раза... а дальше будет лежать, занимать место на детской полке.  Получили в подарок, сами бы не покупали. В игре решает все бросок кубика и если цвет ребенка не выпадает 3 раза, считай он проиграл... Если без паузы играть, то игра превращается в какой то хаус, где взрослому нужно и кубы быстро кидать, и рыб двигать, и ребенка утешать после проигрыша. А с паузой смысл особо не меняется, просто хауса становится меньше, но игровой процесс все равно бессмысленен и скучен. Для игры возьмите лучше Зомби в школе/городе, Коварный Лис, Перекати ежик., ",0
"В целом, задумка неплохая, но... За такие деньги, даже со скидкой, исполнение могло быть и лучше. Если честно, я ожидала, что хотя бы схема будет расположена и закреплена в пластике и на неё можно будет накладывать карточки. Но нееет. Отдельно схема, отдельно карточки, отдельно светозвуковой механизм. И размещается все это чудо просто в картонной коробке, что жутко неудобно!!! Края коробки, в которой нужно разместить и блок со светозвуковым механизмом и плату с карточкой, достаточно высокие, то схема съезжает, то карточка, получается несостыковка перфорации на карточках и узлов на схеме, что жутко раздражает и меня и ребёнка. Считаю, что цена на данный товар завышена., ",1
"В целом, игра крутая. Для большой компании - супер! Если хотите сыграть семьей, где есть игроки младше 18+, лучше некоторые карты убрать. Сыграли несколько игр, круто провели время., ",1
"В целом, цена соответствует качеству. Играть можно после того как зачистишь грани мелкозернистой наждачной бумагой, т.к. на одной из граней по всем цифрам остался заусениц от литья, соответственно, этим заусенцем цифра цепляет соседние, в итоге, выталкивает их со своего места. , ",1
"В этом году решили всех своих друзей порадовать игрой Имаджинариум. Одним - достался именно этот «дорожный» вариант. Отличные добрые картинки. Дети 4х лет , вникнув в игру, загадывают картинки наравне с подростками и взрослыми людьми. Самая лучшая колода карт. Яркая, новогодняя…. Полем для фишек выступает сама коробка. В этой версии «слонов» (фишки) заменяют «жирафы», которые крепятся к боковым сторонам коробки. Удобно, что занимает мало места и в процессе игры , и при транспортировке (удобно брать с собой в отпуск, например). Вообщем, надо брать!, ",1
"В эту игру действительно могут играть даже взрослые так как заставляет не плохо напрягать мозги, ",1
"Вау!, ",1
"Великолепная игра...играем всей семьёй,дочь в восторге. Хотим ещё разновидность этой игры купить, ",1
"Великолепная кооперативная игра -детектив, в которой 3 сценария и 5 персонажей. Каждое повторное прохождение сценария уникально, так как карты в колоде и жетоны хаоса выпадают абсолютно рандомно. Персонажи имеют свой набор карт в колоде и свои особенности.",1
"веселая игра для всей семьи, ",1
"Весёлая настольная игра для компании, которая раскроет правду о вас и ваших друзьях Всем привет! В этом отзыве я поделюсь с вами классной настольной игрой для компаний. Мне и моим друзьям она очень понравилась, поэтому расскажу про неё подробнее. Игра называется ""Ничего Личного"". Заказать её можно на официальном... Достоинства: оформление, качественно выполнена, простые правила, интересно и весело играть Недостатки: нет",1
"Веселая развлекательная игра хорошо помогает развивать мышление и логику. Интересно разгадывать разные ситуации., ",1
"Обрадовалась. Взяла.Дома хотели посмотреть. Коробочка со стеклышками отклеилась. Под ней открытые грани зеркал. ??‍♀️Муж приклеил.Сейчас смотрю, а окошко куда надо смотреть сделано пленочкой, которая тоже отходит и под ней те-же острые грани зеркала. Ну как так то?!Потому и скидка, что в руках рассыпается и опасен?!, ",0
"Веселая, интересная, способствует фокусировке внимания. Играли с ребёнком 8 лет - составить с первого раза картинку почти невозможно. Но со временем начинает получаться., ",1
"Весело, динамично, громко!, ",1
"Взрослые не смогли собрать , лежит и всех бесит 🤣, ",1
"Взяла квест, потому что сюжет меня зацепил. У детей фантазия очень хорошая, так что квартира превратилась в целую локацию с препятствиями. Внутрь кладется переводная татуировка, но я доложила свой подарок. , ",1
"взяла на подарок сыну 16 летие. он и его друзья оценили☺️😊, ",1
"Взяла по рекомендации. И так же рекомендую к покупке. Стимулирует мышление ребенка, вырабатывает усидчивость. , ",1
"Заказали ребёнку игру на Новый год, ребёнок был в восторге, да и взрослым понравилась игра. Но играли мы недолго, три раза. Больше она не включалась. Заказали новую, вообще не включилась. Сейчас понимаю что проблема наверно в батарейках, не хватает мощности.  В таком случае батареек не напасёшься на эту игру, ",0
"Раньше брал эту же игру за 529 рублей, потом подарил сестре. Решил снова купить, но подороже мол в коробке, удобно, все дела. Когда открыл, был разочарован. К самому содержимому претензий нет. Ничего не поломано, не порвано, всё содержимое на месте. Но есть претензии к самим картам. Карты маленькие, очень тонкие, не удобно ими играть. Те, что я покупал ранее (за ₽529), больше размером, толще картон, а, соответственно, более плотные, так ещё и в 3 раза дешевле (даже не в 2, а в 3). Не ведитесь на коробку., ",0
"Взяли без отзывов , по рекомендации на форуме. Милая игра но до 3-3,5 лет , смотря какой ребенок. Нашей дочке 3, 9 , она сыграла один раз и сказала, что это для малышей и тот же хитрый лис , намного интереснее для нее. Но деткам по-младше,  думаю , хорошо будет. Оставили младшенькому. , ",1
"Взяли и себе, и подруге на д р. Дёшево и очень сердито! , ",1
"Шляпки сделаны из хлипкой пласмассы, при первом же использовании отломалась ручка от красной присоски и отломались ножки которыми шляпки крепятся к фигуркам., ",0
"Купили игру ребенку 4,8 лет, так как до этого были в восторге от игры монополия джуниор от этого бренда. К сожалению игра разочаровала. На коробке рекомендуемый возраст 5+. При этом задания на карточках из серии: ""покажи какой звук издает лошадь"". Или: ""Вы отправляетесь кататься на лыжах. Вы научились кататься на лыжах или сноуборде?"". То есть задумка с карточками-заданиями хорошая, но сами задания непонятно на кого рассчитаны, ",0
"Взяли игру на днях, отличнейший варгейм. Очень понравились механики и визуал. Показалось что за атрейдесов чуть сложнее играть, но пока сыграли только 3 партии и с каждой новой все больше раскрывается потенциал каждой фракции.",1
"Видела под другим товаром отзыв, что этот бренд можно брать смело, рискнула приобрести пазлы. Качество отличное, дерево гладкое, как яичко! Все пазлы разрезаны по-разному, даже если форма разреза повторяется - то на одной картинке он идёт вертикально, а на другой горизонтально, так что с закрытыми глазами не соберёшь (это я к 1-му отзыву). Товар полностью соответствует фото и описанию, смотрите внимательно что берёте и для кого. Эти пазлы подойдут для самых маленьких, как первые пазлы в жизни, когда ребёнок ещё не умеет соединять детали стандартных пазлов. Картинки красивые, яркие. Все картинки не допиляны в двух местах по точечке, для транспортировки, нужно их доламывать, одна картинка при доставке сама разломалась - в месте соединения остались точечки не идеальной гладкости, но ими точно невозможно пораниться или получить занозу! Ребёнку пока не показывала, но если вызовут интерес именно как пазлы - обязательно куплю и другие. По цене кажется дороговато, но на самом деле за одну картинку получается не много, не больше, чем за подобные пазлы из картона или вспененые. Однозначно рекомендую попробовать приобрести хотя бы один набор., ",1
"Товар ужасный! Купили ребёнку в подарок и в первый же день начали рассыпаться деревянные ручки, которыми нужно отбивать мяч! Дерево просто начало рассыпаться на щепки, лопаться!!!! Гвозди маленькие вбиты так, что они просто раскололи дерево до момента эксплуатации этой игры! Производитель, это что такое вообще???? За такие деньги, Вы конечно простите...!!! НЕ РЕКОМЕНДУЮ!!! В итоге - разочарование у ребенка и выброшенные на ветер 1799 руб., ",0
"Викторина понравилась! Некоторые вопросы показались сложными, но хорошо, что отмечены правильные ответы., ",1
"Внук очень доволен , прекрасная игра для развития. Даже взрослым интересно., ",1
"Внучка попросила у бабушки куклу лол, но она по невнимательности купила нам эту игру, хотя мне кажется любой может перепутать этот шарик с шарами лол. Но да ладно это наша ошибка и тут никаких претензий. Перейдём к самой игре. Внутри шара много маленьких шариков, которые надо открыть, макнуть в мокрую губку и проявится рисунок. Не буду вдаваться в правила игры, но ребёнку играть в неё нереально. Шарики взрослому невозможно то открыть, а ребёнку тем более. Рисунок, который проявляется, бледный, очень тяжело рассмотреть, что там нарисовано и он очень быстро высыхает и поэтому играть в неё становится невозможным. Вообщем бесполезная вещь за 2200 рублей, не советую, ",1
