review,assessment
"Была не внимательна, конечно, но никак не ожидала, что внутри будут не магниты, а наполнитель с магнитным слоем. Пластиковые фишки все в зазубринах, после вставки этой подушечки она вылетает. Количество фишек не соответствует заявленному в инструкции, хоть и не критично для игры. И самое главное (я конечно ориентируюсь на старый советский реально магнитный вариант такой игры) нет полосок для игроков. Куда, спрашивается набрать эти 7 букв, как и где их держать, чтобы другие не видели? Разочарована полностью. Не рекомендую!",0
"Была не внимательна, конечно, но никак не ожидала, что внутри будут не магниты, а наполнитель с магнитным слоем. Пластиковые фишки все в зазубринах, после вставки этой подушечки она вылетает. Количество фишек не соответствует заявленному в инструкции, хоть и не критично для игры. И самое главное (я конечно ориентируюсь на старый советский реально магнитный вариант такой игры) нет полосок для игроков. Куда, спрашивается набрать эти 7 букв, как и где их держать, чтобы другие не видели? Разочарована полностью. Не рекомендую!, ",0
"Была не внимательна, конечно, но никак не ожидала, что внутри будут не магниты, а наполнитель с магнитным слоем. Пластиковые фишки все в зазубринах, после вставки этой подушечки она вылетает. Количество фишек не соответствует заявленному в инструкции, хоть и не критично для игры. И самое главное (я конечно ориентируюсь на старый советский реально магнитный вариант такой игры) нет полосок для игроков. Куда, спрашивается набрать эти 7 букв, как и где их держать, чтобы другие не видели? Разочарована полностью. Не рекомендую!, ",0
"Быстрая игра. Может быть филером перед сложной игрой или игрой, когда не хочется думать, а под кружечку чая весело поиграть. Качественная вырубка компонентов, хороший мешочек. Жетоны игроков хочется заменить объёмными фишечками, удобнее брать - переставлять.",1
"В детстве были такие, прям настольгия) все карты на месте, инструкция тоже), ",1
"В некоторых карточках неоднозначные формулировки, правил вроде нет, как указано на коробке, но есть карточка с правилами, непонятно что делать с использованными картами. Красные и зеленые поля есть, но не указано что с ними делать. Неплохо, можно было бы как-то упростить игру",0
"В целом задумка игры на развитие мышление,  моторики очень достойна. Взяла дочке на 4 года. Но очень расстроило, что в инструкции есть расхождение в цвете деталей (1шт), при чем темно синяя деталь в инструкции обозначена как фиолетовая??‍♀️  Я специально не брала дешевый вариант такой игры, так как читала что там такое встречается. И каково было мое разочарование, когда я увидела такое в этой игре!((((, ",1
"В целом игра прикольная, много интересных заданий и ловушек на игровом поле. Картон твердый, красочный. Играем всей семьей, нескучная игра! Но… 
В комплекте 4 монстрика, у одного монстрика (зеленого) отломана ножка, из-за этого снимаю звездочку., ",1
"В целом игра хорошая, ребенка 4 года заинтересовало.Что не понравилось:1. Я ожидала, что игра-ходилка будет связана с карточками (например, попал на синее поле-надо ответить на вопрос из синей категории). В реальности это просто ходилка со счетом до 4-х. К карточкам ее привязать сложно, т.к карточки из разных категорий никак не помечены (просто все карточки пронумерованы) В 4 года уже не интересно. 2. Коробка огромная, а по факту 50% коробки -поле для ходилки. Если оставить только карточки и морковку, то всё с запасом поместилось бы в коробочку 20×30×103. Сами карточки местами названы некорректно. Например, "" подбери слово к животному"", а на картинках в качестве ""животных"" предлагаются гусеницы и пауки.4. Слова на карточках не всегда самые необходимые: например, какая первая буква и нарисовано здание. Ребенок считает, что это дом, а это-отель (зачем?). Или гамбургер. Зачем это слово с словаре ребенку 3-6лет?5. Морковка срабатывает не всегда правильно. При этом к части точек ее нужно просто прислонить, а где-то не сработает без нажатия. Плюс нажимать надо строго в определенном положении, при легком наклоне она может дать ошибочный звук на правильный ответ.6. Морковка оставляет черные следы на карточках. Т.е если навести ее не прям в центр точки, то останутся следы и ребенок повторно проходя карточки будет видеть куда он тыкал в прошлый раз, ",1
"В этом году решили всех своих друзей порадовать игрой Имаджинариум. Одним - достался именно этот «дорожный» вариант. Отличные добрые картинки. Дети 4х лет , вникнув в игру, загадывают картинки наравне с подростками и взрослыми людьми. Самая лучшая колода карт. Яркая, новогодняя…. Полем для фишек выступает сама коробка. В этой версии «слонов» (фишки) заменяют «жирафы», которые крепятся к боковым сторонам коробки. Удобно, что занимает мало места и в процессе игры , и при транспортировке (удобно брать с собой в отпуск, например). Вообщем, надо брать!, ",1
"Великолепная кооперативная игра -детектив, в которой 3 сценария и 5 персонажей. Каждое повторное прохождение сценария уникально, так как карты в колоде и жетоны хаоса выпадают абсолютно рандомно. Персонажи имеют свой набор карт в колоде и свои особенности.",1
"Весёлая настольная игра для компании, которая раскроет правду о вас и ваших друзьях Всем привет! В этом отзыве я поделюсь с вами классной настольной игрой для компаний. Мне и моим друзьям она очень понравилась, поэтому расскажу про неё подробнее. Игра называется ""Ничего Личного"". Заказать её можно на официальном... Достоинства: оформление, качественно выполнена, простые правила, интересно и весело играть Недостатки: нет",1
"Взрослые не смогли собрать , лежит и всех бесит 🤣, ",1
"взяла на подарок сыну 16 летие. он и его друзья оценили☺️😊, ",1
"Взяли игру на днях, отличнейший варгейм. Очень понравились механики и визуал. Показалось что за атрейдесов чуть сложнее играть, но пока сыграли только 3 партии и с каждой новой все больше раскрывается потенциал каждой фракции.",1
"Во первых игроки чисто синего и красного цвета, не так как на изображении, что на сайте, что на упаковке. Вводят в заблуждения.  Механический процесс игры ужасен. Во-первых,  все управляющие шарниры расположены под углом, то есть на выходе из хоккейной коробки полностью наружу, палки ударяются друг о друга, точнее руки мешают им управлять, абсолютно криво настолько, что органичной игры не получается. Во-вторых, что вратарь, что игроки повернуты только в одну сторону, ПРИЧЕМ ВСЕ!!!! То есть, защищая одну часть ворот, вратарь стоит задом и отбить достойно шайбу или вывести ее из края(угла) ворот не представляется возможном, дети сами себе постоянно забивают голы. Игроки на флангах тоже бьют задом, причем там клюшка совсем по другому выглядит и плохо управляется с шайбой. В углах поля есть мертвая зона, если шайба встает на ребро то клюшкой не зацепить.  Поле прогибается по напором резкой игры, просто вваливается. Руки оторвать тем, кто это придумал и по лицу. Ужас! Стыд! Сам из Советского Союза, есть с чем сравнить и у меня еще тогда был хоккей в разы лучше. Но технологии тогда и оборудование и сейчас, небо и земля. Из серии""Ракеты по космосам летают, а наш медведям пищалки пришивает"". Делают кустарно. Табло с ведением счета ""выколи глаз"" цифры цвет в цвет самой пластиковой полоски и настолько малы, что когда их двигаешь нужно вставать и всматриваться, чтобы не пролететь и вообще увидеть счет. Не рекомендую., ",0
"Во первых игроки чисто синего и красного цвета, не так как на изображении, что на сайте, что на упаковке. Вводят в заблуждения. Механический процесс игры ужасен. Во-первых, все управляющие шарниры расположены под углом, то есть на выходе из хоккейной коробки полностью наружу, палки ударяются друг о друга, точнее руки мешают им управлять, абсолютно криво настолько, что органичной игры не получается. Во-вторых, что вратарь, что игроки повернуты только в одну сторону, ПРИЧЕМ ВСЕ!!!! То есть, защищая одну часть ворот, вратарь стоит задом и отбить достойно шайбу или вывести ее из края(угла) ворот не представляется возможном, дети сами себе постоянно забивают голы. Игроки на флангах тоже бьют задом, причем там клюшка совсем по другому выглядит и плохо управляется с шайбой. В углах поля есть мертвая зона, если шайба встает на ребро то клюшкой не зацепить. Поле прогибается по напором резкой игры, просто вваливается. Руки оторвать тем, кто это придумал и по лицу. Ужас! Стыд! Сам из Советского Союза, есть с чем сравнить и у меня еще тогда был хоккей в разы лучше. Но технологии тогда и оборудование и сейчас, небо и земля. Из серии""Ракеты по космосам летают, а наш медведям пищалки пришивает"". Делают кустарно. Табло с ведением счета ""выколи глаз"" цифры цвет в цвет самой пластиковой полоски и настолько малы, что когда их двигаешь нужно вставать и всматриваться, чтобы не пролететь и вообще увидеть счет. Не рекомендую. Достоинства Азарт, как и во всех играх присутствует, во время игры. Недостатки - на табло не видно цифр, игроки играют задом, а он отличается от передка, ворота выпадают, палки-шарниры имеют углы и работая мешают друг друга, а точнее рукам. Есть мертвые зоны, есть неконтролируемые участки, при которых шайба залетает в ворота.",0
"Вообще не оценили хвалебных отзывов, есть ощущение, что игру переводили и так перевели, что написанное на картах не соответствует тому, что может быть в процессе игры., ",1
"Вообще не понравилась. Кто пишет эти отзывы? Во первых в неё нельзя играть вдвоём, если играть 3,4 человека то правила усложняются, тк игра минимум на 5 игроков. Вообще не понятна суть доски не ну дошёл до финиша и дошёл. ",0
"Вообще нет однозначных ассоциаций с временами года! Некоторые картинки просто чушь!  Если все перемешать, то даже взрослый человек с трудом разберется что к чему, ",0
"Вообще нет однозначных ассоциаций с временами года! Некоторые картинки просто чушь!  Если все перемешать, то даже взрослый человек с трудом разберется что к чему, ",0
"Вообще нет однозначных ассоциаций с временами года! Некоторые картинки просто чушь! Если все перемешать, то даже взрослый человек с трудом разберется что к чему",0
"Вопросов по доставке, получению заказа, и даже к упаковке не возникло, все идеально, но само качество товара, когда стали собирать игру, просто удручающее! Детали стенок поля сделаны из совершенно трухлявого дсп, при вкручивании шурупов сыпятся опилки, отверстия не совпадают, все сикось накось, торцы боковин поля отклеились, при этом еще собрали не до конца. Достоинства - Пока не заметили, оставим, ребенок очень ждал. Недостатки - Отвратительное качество, купили за 1300 р со скидкой, даже этих денег не стоит, а полная стоимость 3500 р, это вообще нонсенс! Я бы принесла обратно, даже не старались бы собрать",0
"Вопросов по доставке, получению заказа, и даже к упаковке не возникло, все идеально, но само качество товара, когда стали собирать игру, просто удручающее! Детали стенок поля сделаны из совершенно трухлявого дсп, при вкручивании шурупов сыпятся опилки, отверстия не совпадают, все сикось накось, торцы боковин поля отклеились, при этом еще собрали не до конца.., ",0
"Вот действительно развивающая игра! Играли в стандартную дженгу, потом пошли строить всё на что фантазии хватило. Поняла что игрушки должны быть максимально простыми, чтобы детям было куда проявить свою фантазию., ",1
"Время использования 30 минут, после этого поняли следующее: плохое качество, синий человечек  вылетает с платформы и голова у него выбивается намного быстрее, чем у красного, быстро устают руки, долго не поиграешь, а тем более если играть будет ребёнок, наскучило через 25 использования, ",0
"Все работает отлично, ",1
"Всё с игрой нормально. Полный комплект. Качество устраивает. Слегка доработали - начертили поле на картоне из 10 шагов для 6 игроков (+ 6 фишек). Ну и положили в коробку ручку и блокнот (чтобы считать деньги).  Если добавить к моим детям ещё одного соседского ребенка, то я могу надолго заняться своими делами :) рекомендую!, ",1
"Все хорошо, но слишком толстые, в руке помещается 4 шт, неудобно держать. Коробка качественная, но теряет вид из за лишней информации, могли бы отдельно напечатать. Плюс на коробке говориться, что в домино можно играть 40 разными способами, а ни одного не написали., ",1
"Вся запуталась с первой же игры , ненужная длина и тонкий пластик, ",0
"Выглядит крупно, достойно, игра интересная для ребёнка лет, думаю, с 4 , моему 7, очень интересно, играем часто), ",1
"Геоборд супер. Много карточек с примерами рисунков. Дочке 4,9 увлеклась, да и сама потом без картинок стала фантазировать. Мне тоже интересно, с удовольствием отвлеклась., ",1
"Грустные, тревожные, печальные картинки. Тема войны, апокалипсиса, злые монстры. Игра отличная. Это наш второй набор. Но именно в него не хочется играть, тем более с ребёнком. Достоинства Игра хорошая Недостатки Депрессивные картинки плохая подборка",0
"Грустные, тревожные,печальные картинки. Тема войны, апокалипсиса, злые монстры. Игра отличная. Это наш второй набор. Но именно в него не хочется играть, тем более с ребёнком., ",0
"Грустные, тревожные,печальные картинки. Тема войны, апокалипсиса, злые монстры. Игра отличная. Это наш второй набор. Но именно в него не хочется играть, тем более с ребёнком., ",0
"Грустные, тревожные,печальные картинки. Тема войны, апокалипсиса, злые монстры. Игра отличная. Это наш второй набор. Но именно в него не хочется играть, тем более с ребёнком., ",0
"Деньги выброшены на ветер. Вскрыли прозрачную плёнку, в которую упакована игра и три доски просто рассыпались в руках. Они просто нереально хрупкие. Хотела купить у другого производителя, но взяла этот подороже, в итоге всё в мусорку. Я такого ещё не встречала. Позорище просто. Также покупали пазлы этого производителя, коробка от них тоже отваливается мелкими кусками. Что за материал такой непонятно ХДФ.",0
"Деньги выброшены на ветер. Вскрыли прозрачную плёнку, в которую упакована игра и три доски просто рассыпались в руках. Они просто нереально хрупкие. Хотела купить у другого производителя, но взяла этот подороже, в итоге всё в мусорку. Я такого ещё не встречала. Позорище просто. Также покупали пазлы этого производителя, коробка от них тоже отваливается мелкими кусками. Что за материал такой непонятно ХДФ. , ",0
"Деньги выброшены на ветер. Вскрыли прозрачную плёнку, в которую упакована игра и три доски просто рассыпались в руках. Они просто нереально хрупкие. Хотела купить у другого производителя, но взяла этот подороже, в итоге всё в мусорку. Я такого ещё не встречала. Позорище просто. Также покупали пазлы этого производителя, коробка от них тоже отваливается мелкими кусками. Что за материал такой непонятно ХДФ. , ",0
"Детали абсолютно не магнитятся к доске. Непонятно зачем магнитная доска вообще. Без нее просто собирать на картинке - одна нервотрепка. Детали абсолютно не фиксируются ровно и друг с другом. Играть невозможно, ",0
"Детали абсолютно не магнитятся к доске. Непонятно зачем магнитная доска вообще. Без нее просто собирать на картинке - одна нервотрепка. Детали абсолютно не фиксируются ровно и друг с другом. Играть невозможно, ",0
"Детская версия игры ""Уно"".  Упаковка хорошая, карточки плотные, печать чёткая. Играли всей семьёй, вариантов игры несколько. Понравилось и  ребёнку 5 лет, и взрослым. , ",1
"Детям игра понравилась, но от любопытства решили вручную открыть глаза бабуле, теперь не закрываются., ",0
"Детям очень понравилась игра. После этих карточек стали спрашивать что это за мультики и просить показать их. Так , через инру, началось наше знакомство советскими мультиками. А то ведь только дисней хотели смотреть. Советские им нудными казались. Спасибо игре., ",1
"Добрый день. Скажите, от какого количества батареек работает? Из описания не понятно., ",1
"Долго лежала не распакованной, ждала очереди с другими настолками, и зря как оказалось) Отлично подходит и детям и взрослым. После нескольких партий всем жутко захотелось дополнений.",1
"Долго хотела купить и не пожалела, что купила!цена по скидке 449 руб. для такой игры просто отлично!  Ребёнку 5,5 лет заинтересовала, очень мотивирует зелёная лампочка, которая загорается при правильном ответе! Благодаря этой лампочке ребёнок прежде чем соединить ответы думает и радуется когда видит что правильно отвечает.  Качество хорошее, задумка отличная. Для работы нужны 2 батарейки АА в комплект не входят., ",1
"Доска хорошая, качественная, массивная. Но, вот сами фигуры и шашки хлипкие. Шашки вообще тонюсенькие. Разметки цифро-буквенной нет на доске, если надумаете заниматься шахматами, разучивая  партии, не получится. Внутренняя часть, где шахматы лежат, у меня с одной стороны отошла, неудобно,  мешает, надо клеить или вообще убрать, а фигуры хранить внутри россыпью. , ",1
"Дочку 5 лет играет второй день постоянно. Заставляет по 10 раз подряд играть))) Я каждый раз пугаюсь от неожиданности, когда чернила вылетают) а она от этого хохочет))) Достоинства - Яркая, красивая, крепкая, качественная Цена в 600р. с хвостиком по акции и с бонусами просто подарок для игры такого качества. Недостатки На наш с дочкой взгляд не хватает того, чтоб принцесса ДжОли (так мы назвали осьминога, украсив её короной) издавала звук храпа. Когда спит. Но мы вышли из положения) вместо ДжОли храпит дочь)))))",0
"Дочку 5 лет играет второй день постоянно. Заставляет по 10 раз подряд играть))) Я каждый раз пугаюсь от неожиданности, когда чернила вылетают) а она от этого хохочет))), ",1
"Ерунда полная! Половина больших бакуганов не трансформируется, карточки не совпадают с героями, маленькие только руками надо раскрывать, внутри на фото они лежат в плотном мягком наполнителе, а на самом деле в тонюсеньком пластике, который рассыпается на маленькие кусочки. Подарили ребёнку, он обрадовался когда увидел, но когда открыли пришло разочарование. Не рекомендую.",0
"Ерунда полная! Половина больших бакуганов не трансформируется, карточки не совпадают с героями, маленькие только руками надо раскрывать, внутри на фото они лежат в плотном мягком наполнителе, а на самом деле в тонюсеньком пластике, который рассыпается на маленькие кусочки. Подарили ребёнку, он обрадовался когда увидел, но когда открыли пришло разочарование. Не рекомендую. , ",0
"Если дети постоянно шумят,бегают по комнатам,сбивая малышей с ног. Просто купи им Уно и они 1 час спокойно посидят и весело проиграют. Игра для деток школьников., ",1
"За 1700 купила , это очень дорого для такой игры. У нас целый шкаф настолок, в том числе подобных развлекательных. Почему- то я думала,  что страусы подвижные, поочереди выскакивают, и тогда нужно по ним бить! Ну нет , они все на одном уровне стоят , только свет загорается то на одном, то на другом. Вообщем , ерунда полная. Очень примитивно, недоработано. На 15 минут повелелиться  для компании детей на празднике. Красная цена рублей 700. Только за бренд деньги., ",1
"За 50 р достойная игра, ",1
"За 819₽ вообще супер. Пумба красивый из качественного пластика. Перед покупкой ни где не могла найти правила, напишу тут вкратце. Игроки берут по одной карточке, на которой нарисованы три жука. Пластиковых жуков кладем в кучку, игроки выбирают любого жука, переворачивают, смотрят цифру, кладут в рот кабанчику и нажимают на хвост столько раз, сколько было написано на жуке. В какой-то момент кабан выплевывает всех жуков, которых успел съесть (это не вся кучка), а игроки хватают тех жуков, которые соотвествуют жукам на их карточке. Выигрывает тот, кто первый соберет всех трех жуков на своей карточке., ",1
"За данную стоимость просто отличная игра, ",1
"Задумка у игрушки хорошая. Дочери 3.5, игрушка заинтересовала, задания понятные, интересные, но само исполнение игрушки не очень. Отверстия не совпадают, из за этого не всегда горит лампочка при правильном ответе, приходится в этот момент помогать ребёнку, и выглядит это все как то хлюпенько., ",1
"Заказала дочке в дополнение к подарку на День рождения, чтобы потом взять игру в отпуск. Не успели открыть, поле сломалось на 2 части. Ужасный запах, который бывает у китайских подделок. Очень мелкое поле для игры-бродилки. Купила из-за хорошего отзыва, но сама не рекомендую никому покупать эту игру. Она одноразовая., ",0
"Заказали ребёнку игру на Новый год, ребёнок был в восторге, да и взрослым понравилась игра. Но играли мы недолго, три раза. Больше она не включалась. Заказали новую, вообще не включилась. Сейчас понимаю что проблема наверно в батарейках, не хватает мощности.  В таком случае батареек не напасёшься на эту игру, ",0
"Заказывала товар ребёнку на день рождения. Хотели не простой и качественный деревянный набор. Я опишу подробно,  а вы решите стоит ли он этих денег. Шахматные фигуры деревянные,  но очень маленькие.  Шашки пластик. Сама доска обклеена бумагой,  поэтому не  понятно на сколько этот рельно дерево, а не фанера сложно судить. На поле видно, что при облейке туда попадала пыль и за счет этого мелкие бугорки образовались.  Края доски уже стёрты в новом. Не могут такого качества шахматы стоить 2600, ",0
"Заказывала товар ребёнку на день рождения. Хотели не простой и качественный деревянный набор. Я опишу подробно,  а вы решите стоит ли он этих денег. Шахматные фигуры деревянные,  но очень маленькие.  Шашки пластик. Сама доска обклеена бумагой,  поэтому не  понятно на сколько этот рельно дерево, а не фанера сложно судить. На поле видно, что при облейке туда попадала пыль и за счет этого мелкие бугорки образовались.  Края доски уже стёрты в новом. Не могут такого качества шахматы стоить 2600, ",0
"Заказывала товар ребёнку на день рождения. Хотели не простой и качественный деревянный набор. Я опишу подробно, а вы решите стоит ли он этих денег. Шахматные фигуры деревянные, но очень маленькие. Шашки пластик. Сама доска обклеена бумагой, поэтому не понятно на сколько этот рельно дерево, а не фанера сложно судить. На поле видно, что при облейке туда попадала пыль и за счет этого мелкие бугорки образовались. Края доски уже стёрты в новом. Не могут такого качества шахматы стоить 2600",0
